,,,,,
,2026 전국대학교로켓발사대회 전자팀 체계요구사항명세서(SSRS),,,,
,,,,,
,"에비오닉스, 전원(배터리), 배선, 아밍, 회수 및 통신 부문 요구사항 총괄",,,,
,,,,,
,분류,세분류,요구사항 명세,,번호
,보관 및 운송,보관,Avionics는 포장이 가능해야 한다.,,1.1.1
,,,Avionics는 발사체로부터 분해 되었을 때 형태적 파손이 없어야 한다.,,1.1.2
,,,Avionics는 발사체로부터 분해 되었을 때 기능적 파손이 없어야 한다.,,1.1.3
,,,Avionics는 각 학교의 환경에서 보관할 수 있어야 한다.,,1.1.4
,,운송,Avionics는 자체로 운송이 가능해야 한다.,,1.2.1
,Avionics,구성,Avionics는 발사체의 내부 시스템을 제어해야 한다.,,2.1.1
,,,Avionics는 발사체에 탑재 되어야 한다.,,2.1.2
,,,Avionics는 발사체의 페이로드 사출을 제어해야 한다.,,2.1.3
,,,Avionics는 Raw Data를 저장할 마이크로 SD카드를 포함해야 한다.,,2.1.4
,,,Avionics는 IMU 센서를 포함해야 한다.,,2.1.5
,,,Avionics는 통신 모듈을 포함해야 한다.,,2.1.6
,,,Avioinics는 GPS를 포함해야 한다.,,2.1.7
,,,Avionics는 고도 측정을 위한 기압계를 포함해야 한다.,,2.1.8
,,,Avionics는 배터리를 탑재해야 한다.,,2.1.9
,,,Avionics는 회수장치 시스템을 제어해야 한다.,,2.1.10
,,물리적 형상,Avionics는 발사체의 동체 안에 장착될 수 있어야 한다.,,2.2.1
,,조립,Avionics는 자체로도 조립이 가능해야 한다.,,2.3.1
,,,Avionics는 발사체에 분리되지 않도록 고정되어야 한다.,,2.3.2
,,검사,Avionics는 외부 전원으로 전원 인가가 가능해야 한다.,,2.4.1
,,진단,Avionics는 자체적인 진단을 통해 Avionics 기능 이상을 분석할 수 있어야 한다.,,2.5.1
,,,Avionics는 자체적인 진단을 통해 Avionics의 SW 이상을 분석할 수 있어야 한다.,,2.5.2
,비행,비행 중,Avionics는 고도 400m 이내에서 동작해야 한다. (최종발사체분류체계 5.2.1번),,3.1.1
,,,Avionics는 비행 과정에서 하드웨어의 기능을 유지해야 한다. (최종발사체분류체계 5.2.2번),,3.1.2
,,,Avionics는 비행 과정에서 소프트웨어의 기능을 유지해야 한다. (최종발사체분류체계 5.2.3번),,3.1.3
,,,Avionics는 비행 과정에서 발생하는 진동 하에 기능을 유지할 수 있어야 한다. (최종발사체분류체계 5.2.4번),,3.1.4
,,,Avionics는 비행 과정에서 발생하는 가속도 하에 기능을 유지할 수 있어야 한다.(최종발사체분류체계 5.2.5번),,3.1.5
,,,Avionics는 비행 과정에서 발생하는 온도 하에 기능을 유지할 수 있어야 한다.(최종발사체분류체계 5.2.6번),,3.1.6
,,,Avionics는 비행 과정에서 발생하는 진동 하에 성능을 유지할 수 있어야 한다. (최종발사체분류체계 5.2.7번),,3.1.7
,,,Avionics는 센서로 자세를 판단해야 한다. (최종발사체분류체계 5.2.13번),,3.1.8
,,,Avionics는 비행 과정 중에서 임무 목표에 대한 Raw Data를 도출해야 한다. (최종발사체분류체계 5.2.15번),,3.1.9
,,,Avionics는 비행 과정 중 발사체의 자세각을 측정할 수 있어야 한다. (최종발사체분류체계 5.2.16번),,3.1.10
,,,Avionics는 비행 과정 중 발사체의 가속도를 측정할 수 있어야 한다. (최종발사체분류체계 5.2.16번),,3.1.11
,,,Avionics의 서브 시스템은 지상 착륙 시 충격에 의해 분리되지 않아야 한다. (최종발사체분류체계 5.2.1번),,3.1.12
,,,Avionics는 비행 데이터를 수집해야 한다.,,3.1.13
,,,Avionics는 내부 환경 데이터를 수집해야 한다.,,3.1.14
,,,Avionics는 비행 과정 중 영상 데이터를 수집해야 한다.,,3.1.15
,,,Avionics는 비행 데이터를 저장해야 한다.,,3.1.16
,,,Avionics는 내부 환경 데이터를 저장해야 한다.,,3.1.17
,,,Avionics는 영상 데이터를 저장해야 한다.,,3.1.18
,,,Avionics는 현 비행 상태를 GCS에 전달할 수 있어야 한다.,,3.1.19
,,통신,일반,Avionics는 지상체와 무선 통신이 가능해야 한다.,3.2.1
,,,,Avionics는 지상체와 고도 400m이내에서 통신이 가능해야 한다.,3.2.2
,,,,Avionics는 지상체로부터의 명령을 수신 가능해야 한다.,3.2.3
,,,,Avionics는 지상체에 300MHz이상 대역에서 데이터 메세지를 전송해야 한다.,3.2.4
,,,,Avionics 지상체에 초당 2400bps개 이상의 신호를 전송해야 한다.,3.2.5
,,,,Avionics는 데이터 실시간 통신 역할을 할 수 있어야 한다.,3.2.6
,,,,지상체를 통해 Avionics에게 강제 사출 등의 명령을 전송해야 한다.,3.2.7
,,,,Avionics는 발사 준비 시점부터 발사체 회수 시점까지 일정한 주기로 지상체와 데이터 메시지를 교환해야 한다.,3.2.8
,,,,Avionics는 페이로드의 이상유무를 실시간으로 확인할 수 있어야 한다.,3.2.9
,,,,Avionics는 실시간으로 지상체에게 비행 데이터를 전송해야 한다.,3.2.10
,,,,Avionics는 실시간으로 사용자에게 비행 중 로켓 내부 환경 데이터를 전송해야 한다.,3.2.11
,,,,Avionics는 실시간으로 사용자에게 외부 영상을 전송해야 한다.,3.2.12
,,,아키텍처간 책임,Arduino Gateway는 LoRa와 Serial 사이에서 raw byte forwarding 역할만 수행해야만 한다.,3.2.13
,,,,Arduino Gateway는 telemetry 또는 command payload를 해석하거나 수정해서는 안된다.,3.2.14
,,,,Python GCS는 모든 telemetry decoding과 command logic을 담당해야만 한다.,3.2.15
