,,,,,
,2026 전국대학교로켓발사대회 공식 체계요구사항명세서(SSRS),,,,
,,,,,
,"에비오닉스, 전원(배터리), 배선, 아밍, 회수 및 통신 부문 요구사항 총괄",,,,
,,,,,
,분류,식별자,요구사항 명세,관련 규정,번호
,전원/점화 보호,PWR-01,배터리 등의 전원공급장치는 별도의 케이스에 넣어 화염으로부터 보호 해야 한다.,규정 4.2.1 ③,1
,전자부(Avionics),AVI-01,각 참가팀은 비행 컴퓨터가 적절하게 기능함을 지상 시험 등을 통해 확 인하고 안전 보고서에 해당 내용을 포함하여야 한다.,규정 4.3.5 ①,2
,,AVI-02,각 참가팀은 전자부에서 노이즈에 의한 효과를 배제하기 위해 적절한 필터링 방안을 수립하고 시험을 통해 확인하여야 한다,규정 4.3.5 ②,3
,배선(Wiring),WIR-01,"안전 필수 배선은 회수장치 전개, 공중에서 점화되는 모터, 위치 비콘 (GPS 등), 그리고 로켓의 궤적/안정성에 관련된 모든 시스템 배선을 포 함한다.",규정 4.3.6 ①,4
,,WIR-02,모든 안전 필수 배선에는 발사 시 하중 때문에 꼬이거나 과도하게 움직 이지 않도록 묶거나 하네스로 정리하는 등의 조치를 취해야 한다.,규정 4.3.6 ②,5
,,WIR-03,모든 배선은 라벨이나 색상 코드 등을 통해 어떤 서브시스템에 연결되 는지 등을 쉽게 판단할 수 있도록 해야 한다.,규정 4.3.6 ③,6
,,WIR-04,"모든 안전 필수 배선은 운송, 발사 준비, 그리고 비행 과정에서의 단선을 방지할 수 있도록 충분히 튼튼해야 한다.",규정 4.3.6 ④,7
,아밍(Arming),ARM-01,"에너제틱이 발동되기 위한 전자부의 전원이 꺼져 있을 때 '안전하다'고 간주되며, 전자부가 점화시킬 수 있도록 전원을 켜는 행동을 '아밍'으로 지칭한다.","규정 4.3.8 ③, ④",8
,,ARM-02,로켓이 발사되지 않은 경우 에너제틱의 아밍을 해제할 수 있도록 설계 해야 한다.,규정 4.3.8 ⑥,9
,,ARM-03,에너제틱은 발사 장소에서만 적절한 절차를 통해 아밍될 수 있다.,규정 4.3.8 ⑦,10
,,ARM-04,"정비 등의 사유로 발사 장소를 이탈할 경우, 발사대에서 로켓을 탈거하 기 전에 모든 에너제틱의 아밍을 해제해야 한다.",규정 4.3.8 ⑧,11
,,ARM-05,모든 에너제틱의 아밍 장치는 외부에서 작동하고 제어할 수 있도록 설 계되어야 한다.,규정 4.3.8 ⑨,12
,,ARM-06,모든 에너제틱의 아밍 장치는 아밍 시 작업 인원이 머리를 로켓에 100mm보다 가깝게 대지 않고 아밍할 수 있도록 설계되어야 한다.,규정 4.3.8 ⑩,13
,,ARM-07,아밍 시 작업 인원이 페이스 쉴드 등의 보호 장구를 착용한 채로 아밍할 수 있도록 설계되어야 한다.,규정 4.3.8 ⑪,14
,,ARM-08,모든 에너제틱은 아밍 과정에서 사고로 작동하더라도 작업 인원이 상해 를 입지 않도록 설치되어야 한다.,규정 4.3.8 ⑫,15
,,ARM-09,"작업 인원 머리가 로켓에서 100mm 이상 떨어진 상태에서, 보호 장구 를 착용하고, 최소 76dB 주변 소음 상황에서도 에너제틱 아밍 여부를 확인할 수 있어야 한다.","규정 4.3.9 ①,②,③",16
,배터리(Battery),BAT-01,"리튬 폴리머(LiPo) 배터리는 제조사 직접 장착, 제조사 권장/제공, 또는 KC/CE 인증 등 안전 기준을 정하고 시험한 경우 중 하나를 만족해야 허 용된다.",규정 4.3.10 ①,17
,,BAT-02,직사각형 외형이거나 플라스틱 케이싱을 가진 리튬 이온 배터리는 사용 할 수 없다.,규정 4.3.10 ②,18
,,BAT-03,습식 납 축전지와 핵전지는 사용할 수 없다.,규정 4.3.10 ③,19
,,BAT-04,"LiFePO4, 금속 케이싱 NiMH/알카라인/원기둥형 리튬 이온, 동전형 배 터리는 외형이나 재질 등 제한 없이 사용 가능하다.",규정 4.3.10 ④,20
,,BAT-05,페이로드의 배터리 역시 본체와 동일한 배터리 관련 규정(4.3.10)을 충 족해야 한다.,규정 4.5.1 ②,21
,"* 본 문서는 「2026 전국대학교로켓발사대회 규정집 (최종 수정일 2026.04.02)」을 바탕으로 전자팀(에비오닉스, 배터리, 통신, 배선, 아밍 등)에 해당하는 모든 체계 요구사항을 누락 없이 추출하여 작성되었습니다. ",,,,
