"Id";"지정자";"풋프린트";"수량";"지정";"공급자와 참조";
1;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
2;"C1";"C_0805_2012Metric";1;"1u";;;
3;"C4, C6, C7, C9, C11, C15, C16, C18, C21";"C_0805_2012Metric";9;"100n";;;
4;"C5, C20";"C_0805_2012Metric";2;"100p";;;
5;"C8, C17";"C_0805_2012Metric";2;"10u";;;
6;"C10, C12, C13, C14, C19";"C_0805_2012Metric";5;"22u";;;
7;"D1, D2";"LED_D1.8mm_W3.3mm_H2.4mm";2;"LED";;;
8;"F1";"Fuse_2410_6127Metric";1;"5A";;;
9;"J1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"U.FL-R-SMT-1(10)";;;
10;"J3";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_LoRA";;;
11;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"GPS_RST";;;
12;"J_POWER1";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60";;;
13;"J_PYRO1, J_PYRO2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"IGNITER_5R6";;;
14;"L1";"L_Changjiang_FXL1050";1;"10uH";;;
15;"Q1, Q2, Q3, Q4";"TO-252-2";4;"IRLR8726";;;
16;"R3, R15";"R_0805_2012Metric";2;"330k";;;
17;"R4, R16";"R_0805_2012Metric";2;"68k";;;
18;"R5";"R_0805_2012Metric";1;"180k";;;
19;"R6, R9, R17, R19";"R_0805_2012Metric";4;"100";;;
20;"R7, R10, R13, R18, R20";"R_0805_2012Metric";5;"100k";;;
21;"R8";"R_0805_2012Metric";1;"30k";;;
22;"R11";"R_0805_2012Metric";1;"150k";;;
23;"R12";"R_0805_2012Metric";1;"1k";;;
24;"R14";"R_0805_2012Metric";1;"33k";;;
25;"R21, R22, R23, R24, R27, R28, R29";"R_0805_2012Metric";7;"4.7k";;;
26;"R25, R26";"R_0805_2012Metric";2;"220";;;
27;"SW1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"ARM";;;
28;"U1";"LSM6DSOX";1;"Adafruit_LSM6DSO32";;;
29;"U2";"Sparkfun_H3LIS331DL";1;"Sparkfun_H3LIS331DL";;;
30;"U3";"Adafruit_MPC3315A2";1;"Adafruit_MPC3315A2";;;
31;"U4";"Teensy41";1;"Teensy4.1";;;
32;"U5";"Adafruit_LIS3MDL";1;"LIS3MDL";;;
33;"U6";"GPSM-SMD_24P-L16.0-W12.2-P1.10-BL";1;"NEO-M9N-00B";;;
34;"U8";"SOT-223-3_TabPin2";1;"MCP1825S-5002";;;
35;"U9";"TSOT-23-6";1;"AP63200WU-7";;;
36;"U10";"SOT-23-5";1;"AP2210K-3.3";;;
